"ordre","code","reference","nom","lien","description","isOfficiel","unite_apprentissage_reference","duree_en_heure","formateur_reference"
"1","2.2.1-1","DWB-2.2.1-1","Sélecteurs, cascade, unités","https://solicode-web-mobile.github.io/autoformations-web/styliser-css/selecteurs-cascade-unites/","Comprendre le rôle des feuilles de style CSS, savoir cibler les éléments HTML avec les sélecteurs et utiliser les unités de mesure. ","1","DWB-2.2.1","2",""
"7","2.2.1-2","DWB-2.2.1-2","Typographie, couleurs, bordures, modèle de boîte","https://solicode-web-mobile.github.io/autoformations-web/styliser-css/typographie-couleurs-bordures-modele-boite/","Maîtriser les propriétés CSS de typographie, couleur, bordures et comprendre le box model. ","1","DWB-2.2.1","2",""
"7","2.2.2-3","DWB-2.2.2-3","Flexbox","https://solicode-web-mobile.github.io/autoformations-web/styliser-css/flexbox/","Maîtriser le système de mise en page Flexbox pour organiser les éléments de manière flexible et responsive.","1","DWB-2.2.2","3",""
"7","2.2.2-4","DWB-2.2.2-4","Grid Layout","https://solicode-web-mobile.github.io/autoformations-web/styliser-css/grid-layout/","Utiliser CSS Grid pour créer des mises en page complexes et adaptatives.","1","DWB-2.2.2","3",""
"7","2.2.3-5","DWB-2.2.3-5","Variables CSS","https://solicode-web-mobile.github.io/autoformations-web/styliser-css/variables-css/","Découvrir l’utilisation des variables CSS pour centraliser les valeurs réutilisables et faciliter la maintenance.","1","DWB-2.2.3","1",""
"7","2.2.3-6","DWB-2.2.3-6","Media Queries","https://solicode-web-mobile.github.io/autoformations-web/styliser-css/media-queries/","Apprendre à rendre un site responsive avec les media queries.","1","DWB-2.2.3","2",""
"7","2.2.4-7","DWB-2.2.4-7","Transitions et animations simples","https://solicode-web-mobile.github.io/autoformations-web/styliser-css/transitions-animations-simples/","Utiliser les transitions et animations CSS pour améliorer l’interactivité.","1","DWB-2.2.4","1",""
"7","2.2.5-8","DWB-2.2.5-8","Introduction aux préprocesseurs CSS","https://solicode-web-mobile.github.io/autoformations-web/styliser-css/introduction-preprocesseurs-css/","Comprendre le rôle des préprocesseurs CSS (SASS, LESS) et leurs fonctionnalités de base.","1","DWB-2.2.5","1",""
"9","2.2.5-9","DWB-2.2.5-9","Découverte de Bootstrap","https://solicode-web-mobile.github.io/autoformations-web/styliser-css/decouverte-bootstrap/","Découvrir Bootstrap, son système de grille et ses classes utilitaires pour des interfaces responsives.","1","DWB-2.2.5","1",""
"1","3.1.1-1","DWB-3.1.1-1","Variables, types de données et opérateurs","https://solicode-web-mobile.github.io/autoformations-web/javascript-premiers-pas/variables-types-operateurs/","Comprendre et utiliser les variables, les types de données et les opérateurs en JavaScript.","1","DWB-3.1.1","2",""
"7","3.1.1-2","DWB-3.1.1-2","Fonctions simples","https://solicode-web-mobile.github.io/autoformations-web/javascript-premiers-pas/fonctions-simples/","Savoir définir et appeler des fonctions avec paramètres et valeurs de retour.","1","DWB-3.1.1","3",""
"7","3.1.2-3","DWB-3.1.2-3","Conditions et logique booléenne","https://solicode-web-mobile.github.io/autoformations-web/javascript-premiers-pas/conditions-logique-booleenne/","Utiliser les conditions if, else, switch et la logique booléenne.","1","DWB-3.1.2","2",""
"7","3.1.2-4","DWB-3.1.2-4","Boucles – for, while, break","https://solicode-web-mobile.github.io/autoformations-web/javascript-premiers-pas/boucles/","Apprendre à répéter des instructions avec les boucles for, while et do...while.","1","DWB-3.1.2","3",""
"7","3.1.3-5","DWB-3.1.3-5","Sélecteurs DOM – getElementById, querySelector","https://solicode-web-mobile.github.io/autoformations-web/javascript-premiers-pas/selecteurs-dom/","Sélectionner des éléments HTML avec les méthodes DOM.","1","DWB-3.1.3","2",""
"7","3.1.3-6","DWB-3.1.3-6","Modifier texte, attributs et classes","https://solicode-web-mobile.github.io/autoformations-web/javascript-premiers-pas/modifier-dom/","Modifier dynamiquement le contenu, les attributs et les classes CSS.","1","DWB-3.1.3","3",""
"7","3.1.4-7","DWB-3.1.4-7","Gestion des événements – click, input, submit","https://solicode-web-mobile.github.io/autoformations-web/javascript-premiers-pas/gestion-evenements/","Comprendre et utiliser addEventListener pour réagir aux actions utilisateur.","1","DWB-3.1.4","2",""
"7","3.1.4-8","DWB-3.1.4-8","Interaction avec l’utilisateur","https://solicode-web-mobile.github.io/autoformations-web/javascript-premiers-pas/interaction-utilisateur/","Interagir avec l’utilisateur via alert, prompt, confirm et mise à jour dynamique.","1","DWB-3.1.4","3",""
"1","3.2.1-1","DWB-3.2.1-1","Appels AJAX avec fetch() & traitement JSON","https://solicode-web-mobile.github.io/autoformations-web/javascript-aller-plus-loin/appels-fetch-json/","Découvrir comment récupérer des données depuis une API avec fetch() et comprendre le format JSON.","1","DWB-3.2.1","2",""
"7","3.2.1-2","DWB-3.2.1-2","Parcourir et afficher les données d’une API","https://solicode-web-mobile.github.io/autoformations-web/javascript-aller-plus-loin/afficher-donnees-api/","Parcourir les données JSON reçues d’une API et les afficher dynamiquement dans une page web.","1","DWB-3.2.1","3",""
"7","3.2.2-3","DWB-3.2.2-3","Affichage conditionnel & logique d’affichage","https://solicode-web-mobile.github.io/autoformations-web/javascript-aller-plus-loin/affichage-conditionnel/","Utiliser des conditions pour contrôler l’affichage des éléments dans le DOM.","1","DWB-3.2.2","2",""
"7","3.2.2-4","DWB-3.2.2-4","Rendu dynamique depuis des tableaux d’objets","https://solicode-web-mobile.github.io/autoformations-web/javascript-aller-plus-loin/rendu-tableaux-objets/","Générer automatiquement du contenu HTML en parcourant un tableau d’objets.","1","DWB-3.2.2","3",""
"7","3.2.3-5","DWB-3.2.3-5","Fonctions imbriquées, portée, callbacks","https://solicode-web-mobile.github.io/autoformations-web/javascript-aller-plus-loin/fonctions-imbriquees-callbacks/","Comprendre la portée des variables et mettre en œuvre des callbacks.","1","DWB-3.2.3","2",""
"7","3.2.3-6","DWB-3.2.3-6","Factorisation, modularisation et bonnes pratiques ES6","https://solicode-web-mobile.github.io/autoformations-web/javascript-aller-plus-loin/factorisation-modularisation-es6/","Appliquer les techniques de factorisation et modularisation avec ES6.","1","DWB-3.2.3","3",""
"7","3.2.4-7","DWB-3.2.4-7","Manipuler des objets imbriqués & tableaux","https://solicode-web-mobile.github.io/autoformations-web/javascript-aller-plus-loin/objets-imbriques-tableaux/","Savoir parcourir et modifier des objets complexes et tableaux.","1","DWB-3.2.4","2",""
"8","3.2.4-8","DWB-3.2.4-8","Créer une interface interactive pilotée par état","https://solicode-web-mobile.github.io/autoformations-web/javascript-aller-plus-loin/interface-pilotee-etat/","Mettre en place un état et mettre à jour le DOM selon les actions utilisateur.","1","DWB-3.2.4","3",""
"1","4.1.1-1","DWB-4.1.1-1","Installer WordPress en local","https://solicode-web-mobile.github.io/autoformations-web/demarrer-wordpress/installer-wordpress-local/","Être capable d’installer WordPress en local avec XAMPP/WAMP, créer une base MySQL et accéder au tableau de bord.","1","DWB-4.1.1","2",""
"7","4.1.1-2","DWB-4.1.1-2","Créer pages & menus","https://solicode-web-mobile.github.io/autoformations-web/demarrer-wordpress/creer-pages-menus/","Créer des pages de base (Accueil, Services, Contact) et configurer un menu principal.","1","DWB-4.1.1","2",""
"7","4.1.2-3","DWB-4.1.2-3","Choisir un thème et le personnaliser","https://solicode-web-mobile.github.io/autoformations-web/demarrer-wordpress/choisir-theme-personnaliser/","Installer un thème WordPress, personnaliser le logo, les couleurs et définir la page d’accueil.","1","DWB-4.1.2","2",""
"7","4.1.2-4","DWB-4.1.2-4","Ajouter des plugins simples","https://solicode-web-mobile.github.io/autoformations-web/demarrer-wordpress/ajouter-plugins-simples/","Installer et configurer des plugins pour ajouter des fonctionnalités (formulaire de contact, optimisation, etc.).","1","DWB-4.1.2","2",""
"1","5.1.1-1","DWB-5.1.1-1","Identifier les entités et relations","https://solicode-web-mobile.github.io/autoformations-web/concevoir-base-relationnelle/identifier-entites-relations/","Savoir analyser un besoin pour identifier les entités, attributs et relations d'une base de données.","1","DWB-5.1.1","2",""
"7","5.1.1-2","DWB-5.1.1-2","Élaborer un MCD/MLD","https://solicode-web-mobile.github.io/autoformations-web/concevoir-base-relationnelle/elaborer-mcd-mld/","Construire un Modèle Conceptuel de Données (MCD) et le traduire en Modèle Logique de Données (MLD).","1","DWB-5.1.1","2",""
"7","5.1.1-3","DWB-5.1.1-3","Manipuler un fichier de modélisation","https://solicode-web-mobile.github.io/autoformations-web/concevoir-base-relationnelle/manipuler-fichier-modelisation/","Créer, modifier et exporter un fichier de modélisation avec un outil graphique.","1","DWB-5.1.1","2",""
"7","5.1.2-4","DWB-5.1.2-4","Créer des tables avec types et contraintes","https://solicode-web-mobile.github.io/autoformations-web/concevoir-base-relationnelle/creer-tables-types-contraintes/","Créer des tables SQL avec les types de données appropriés et définir les contraintes.","1","DWB-5.1.2","2",""
"7","5.1.2-5","DWB-5.1.2-5","Écrire un script SQL de création complet","https://solicode-web-mobile.github.io/autoformations-web/concevoir-base-relationnelle/ecrire-script-sql/","Rédiger un script SQL complet pour créer une base relationnelle (tables, clés, contraintes).","1","DWB-5.1.2","2",""
"7","5.1.2-6","DWB-5.1.2-6","Bonnes pratiques de structuration","https://solicode-web-mobile.github.io/autoformations-web/concevoir-base-relationnelle/bonnes-pratiques-structuration/","Adopter des bonnes pratiques de conception et de structuration pour une base SQL performante.","1","DWB-5.1.2","2",""
"1","5.2.1-1","DWB-5.2.1-1","SELECT, WHERE, ORDER BY","https://solicode-web-mobile.github.io/autoformations-web/requetes-manipulation-sql/select-where-orderby/","Écrire des requêtes SQL pour sélectionner, filtrer et trier des données dans une table.","1","DWB-5.2.1","2",""
"7","5.2.1-2","DWB-5.2.1-2","Fonctions d’agrégation & GROUP BY","https://solicode-web-mobile.github.io/autoformations-web/requetes-manipulation-sql/fonctions-aggregation-groupby/","Utiliser les fonctions COUNT, SUM, AVG, etc., et regrouper les résultats avec GROUP BY et HAVING.","1","DWB-5.2.1","1.5",""
"7","5.2.1-3","DWB-5.2.1-3","Jointures simples","https://solicode-web-mobile.github.io/autoformations-web/requetes-manipulation-sql/jointures-simples/","Réaliser des jointures INNER JOIN et LEFT JOIN pour combiner des données de plusieurs tables.","1","DWB-5.2.1","1.5",""
"7","5.2.2-4","DWB-5.2.2-4","INSERT INTO","https://solicode-web-mobile.github.io/autoformations-web/requetes-manipulation-sql/insert-into/","Insérer des données dans une table SQL en respectant la structure et les contraintes.","1","DWB-5.2.2","1.5",""
"7","5.2.2-5","DWB-5.2.2-5","UPDATE, DELETE","https://solicode-web-mobile.github.io/autoformations-web/requetes-manipulation-sql/update-delete/","Modifier et supprimer des enregistrements dans une table SQL avec précautions.","1","DWB-5.2.2","2",""
"7","5.2.2-6","DWB-5.2.2-6","Bonnes pratiques + requêtes combinées","https://solicode-web-mobile.github.io/autoformations-web/requetes-manipulation-sql/bonnes-pratiques-requetes-combinees/","Écrire des scripts SQL optimisés, avec transactions et plusieurs instructions (SELECT, INSERT, UPDATE, DELETE).","1","DWB-5.2.2","1.5",""
"1","6.1.1-1","DWB-6.1.1-1","Connexion à une base de données avec PDO","https://solicode-web-mobile.github.io/autoformations-web/connecter-application-bdd/connexion-pdo/","Établir une connexion sécurisée à une base MySQL en utilisant PDO.","1","DWB-6.1.1","2",""
"7","6.1.1-2","DWB-6.1.1-2","Exécuter une requête SELECT et afficher les résultats","https://solicode-web-mobile.github.io/autoformations-web/connecter-application-bdd/select-afficher-resultats/","Exécuter une requête SELECT et afficher les données avec fetch() et fetchAll().","1","DWB-6.1.1","2",""
"7","6.1.2-3","DWB-6.1.2-3","Insérer, mettre à jour et supprimer des enregistrements","https://solicode-web-mobile.github.io/autoformations-web/connecter-application-bdd/insert-update-delete/","Manipuler des données (CRUD) via PHP/PDO.","1","DWB-6.1.2","2",""
"7","6.1.2-4","DWB-6.1.2-4","Gérer les erreurs avec try/catch et exceptions PDO","https://solicode-web-mobile.github.io/autoformations-web/connecter-application-bdd/gestion-erreurs-pdo/","Mettre en place la gestion des erreurs PDO avec try/catch.","1","DWB-6.1.2","2",""
"7","6.1.3-6","DWB-6.1.3-6","Requêtes préparées et paramètres liés","https://solicode-web-mobile.github.io/autoformations-web/connecter-application-bdd/requetes-preparees-parametres-lies/","Sécuriser les requêtes SQL avec prepare(), bindParam() et bindValue().","1","DWB-6.1.3","2",""
"7","6.1.3-5","DWB-6.1.3-5","Bonnes pratiques pour manipuler des données en toute sécurité","https://solicode-web-mobile.github.io/autoformations-web/connecter-application-bdd/bonnes-pratiques-securite/","Appliquer les bonnes pratiques de sécurité et éviter les failles d’injection SQL.","1","DWB-6.1.3","2",""
"1","7.2.1-1","DWB-7.2.1-1","Récupération via $_GET, $_POST, validation simple","https://solicode-web-mobile.github.io/autoformations-web/formulaires-navigation-securisee/recuperation-get-post/","Savoir récupérer les données envoyées par un formulaire et appliquer une validation de base.","1","DWB-7.2.1","2",""
"7","7.2.1-2","DWB-7.2.1-2","Affichage conditionnel & messages d’erreur","https://solicode-web-mobile.github.io/autoformations-web/formulaires-navigation-securisee/affichage-conditionnel-erreurs/","Afficher des messages d’erreur personnalisés selon la validation du formulaire.","1","DWB-7.2.1","2",""
"7","7.2.2-3","DWB-7.2.2-3","Démarrer une session utilisateur","https://solicode-web-mobile.github.io/autoformations-web/formulaires-navigation-securisee/demarrer-session-utilisateur/","Mettre en place une session PHP pour gérer la connexion d’un utilisateur.","1","DWB-7.2.2","2",""
"7","7.2.2-4","DWB-7.2.2-4","Manipuler des cookies en PHP","https://solicode-web-mobile.github.io/autoformations-web/formulaires-navigation-securisee/cookies-php/","Créer, lire et supprimer des cookies en PHP pour stocker des informations.","1","DWB-7.2.2","2",""
"7","7.2.2-5","DWB-7.2.2-5","Sécuriser la navigation avec les sessions","https://solicode-web-mobile.github.io/autoformations-web/formulaires-navigation-securisee/securiser-navigation-sessions/","Protéger les pages sensibles en vérifiant la validité des sessions.","1","DWB-7.2.2","2",""
"1","7.3.1-1","DWB-7.3.1-1","Créer des classes et objets simples","https://solicode-web-mobile.github.io/autoformations-web/programmation-orientee-objet/classes-objets-simples/","Découvrir la syntaxe des classes et des objets en PHP.","1","DWB-7.3.1","2",""
"7","7.3.1-2","DWB-7.3.1-2","Constructeurs, héritage et visibilité","https://solicode-web-mobile.github.io/autoformations-web/programmation-orientee-objet/constructeurs-heritage-visibilite/","Mettre en place des constructeurs, comprendre l’héritage et la visibilité des propriétés et méthodes.","1","DWB-7.3.1","2",""
"7","7.3.1-3","DWB-7.3.1-3","Encapsulation et bonnes pratiques","https://solicode-web-mobile.github.io/autoformations-web/programmation-orientee-objet/encapsulation-bonnes-pratiques/","Utiliser l’encapsulation et suivre les bonnes pratiques de la POO.","1","DWB-7.3.1","2",""
"7","7.3.2-4","DWB-7.3.2-4","Exécuter des opérations CRUD en POO","https://solicode-web-mobile.github.io/autoformations-web/poo-php/executer-crud-poo/","Implémenter les opérations CRUD dans une architecture orientée objet.","1","DWB-7.3.2","2",""
"7","7.3.2-5","DWB-7.3.2-5","Interaction simple avec la base de données via PDO","https://solicode-web-mobile.github.io/autoformations-web/programmation-orientee-objet/interaction-bdd-pdo/","Connecter la POO au PDO pour interagir avec la base de données.","1","DWB-7.3.2","2",""
"1","8.1.1-1","DWB-8.1.1-1","Structure d’un projet React (Vite ou CRA)","https://solicode-web-mobile.github.io/autoformations-web/decouvrir-react/structure-projet-react/","Découvrir l’organisation d’un projet React avec Vite ou Create React App.","1","DWB-8.1.1","2",""
"2","8.1.1-2","DWB-8.1.1-2","Créer un composant fonctionnel","https://solicode-web-mobile.github.io/autoformations-web/decouvrir-react/creer-composant-fonctionnel/","Apprendre à créer un composant React simple et réutilisable.","1","DWB-8.1.1","2",""
"3","8.1.1-3","DWB-8.1.1-3","Utiliser les props et JSX","https://solicode-web-mobile.github.io/autoformations-web/decouvrir-react/utiliser-props-jsx/","Savoir passer des données via les props et utiliser la syntaxe JSX.","1","DWB-8.1.1","2",""
"4","8.1.2-4","DWB-8.1.2-4","Gérer l’état avec useState","https://solicode-web-mobile.github.io/autoformations-web/decouvrir-react/gerer-etat-usestate/","Découvrir le hook useState pour gérer les états locaux des composants.","1","DWB-8.1.2","2",""
"5","8.1.2-5","DWB-8.1.2-5","Réagir aux événements utilisateur","https://solicode-web-mobile.github.io/autoformations-web/decouvrir-react/reagir-evenements-utilisateur/","Mettre en place des gestionnaires d’événements pour interagir avec l’utilisateur.","1","DWB-8.1.2","2",""
"6","8.1.2-6","DWB-8.1.2-6","Navigation entre vues avec react-router-dom","https://solicode-web-mobile.github.io/autoformations-web/decouvrir-react/navigation-react-router/","Mettre en place une navigation multi-pages avec react-router-dom.","1","DWB-8.1.2","2",""
"1","T.1.1-1","DWB-T.1.1-1","Pédagogie active – principes et posture","https://solicode-web-mobile.github.io/autoformations-web/demarche-pedagogique-solicode/pedagogie-active-principes-posture/","Découvrir les principes de la pédagogie active et la posture attendue des apprenants. ","1","DWB-T.1.1","2",""
"7","T.1.1-2","DWB-T.1.1-2","La pédagogie Solicode – niveaux & activités","https://solicode-web-mobile.github.io/autoformations-web/demarche-pedagogique-solicode/niveaux-activites/","Comprendre les niveaux d’autonomie et les activités pédagogiques de Solicode. ","1","DWB-T.1.1","2",""
"7","T.1.1-3","DWB-T.1.1-3","Programme de formation & évaluation","https://solicode-web-mobile.github.io/autoformations-web/demarche-pedagogique-solicode/programme-evaluation/","Découvrir l’organisation du programme de formation et les méthodes d’évaluation. ","1","DWB-T.1.1","2",""
"1","T.2.1-1","DWB-T.2.1-1","Rôles et responsabilités dans une équipe projet","https://solicode-web-mobile.github.io/autoformations-web/collaboration-posture-professionnelle/roles-responsabilites-equipe/","Comprendre les rôles et responsabilités de chaque membre dans une équipe projet. ","1","DWB-T.2.1","2",""
"7","T.2.1-2","DWB-T.2.1-2","Communication assertive et feedback","https://solicode-web-mobile.github.io/autoformations-web/collaboration-posture-professionnelle/communication-assertive-feedback/","Apprendre à communiquer efficacement et donner/recevoir du feedback constructif. ","1","DWB-T.2.1","2",""
"7","T.2.1-3","DWB-T.2.1-3","Méthodes agiles + outils numériques","https://solicode-web-mobile.github.io/autoformations-web/collaboration-posture-professionnelle/methodes-agiles-outils/","Découvrir les principes des méthodes agiles et les outils collaboratifs numériques. ","1","DWB-T.2.1","2",""
"1","T.3.1-1","DWB-T.3.1-1","Initier un dépôt local avec Git","https://solicode-web-mobile.github.io/autoformations-web/git-github/initier-depot-local/","Savoir initialiser un dépôt Git en local et comprendre les commandes de base.","1","DWB-T.3.1","2",""
"7","T.3.1-2","DWB-T.3.1-2","Publier un projet sur GitHub","https://solicode-web-mobile.github.io/autoformations-web/git-github/publier-projet-github/","Apprendre à lier un dépôt local à GitHub et publier son projet.","1","DWB-T.3.1","2",""
"7","T.3.1-3","DWB-T.3.1-3","Partager un dépôt avec un formateur","https://solicode-web-mobile.github.io/autoformations-web/git-github/partager-depot-formateur/","Comprendre comment partager un dépôt GitHub pour des revues de code.","1","DWB-T.3.1","2",""
"7","T.3.2-4","DWB-T.3.2-4","Cloner, ignorer, gérer les fichiers","https://solicode-web-mobile.github.io/autoformations-web/git-github/cloner-ignorer-gerer-fichiers/","Cloner un projet, configurer un .gitignore et gérer l’arborescence des fichiers.","1","DWB-T.3.2","2",""
"7","T.3.2-5","DWB-T.3.2-5","Utiliser GitHub Desktop & gérer des issues","https://solicode-web-mobile.github.io/autoformations-web/git-github/github-desktop-issues/","Découvrir GitHub Desktop et apprendre à gérer des issues.","1","DWB-T.3.2","2",""
"7","T.3.3-6","DWB-T.3.3-6","Branches, pull/push, merge","https://solicode-web-mobile.github.io/autoformations-web/git-github/branches-pull-push-merge/","Maîtriser les branches, le push/pull et les fusions de code.","1","DWB-T.3.3","2",""
"7","T.3.3-7","DWB-T.3.3-7","Résolution de conflits et historique collaboratif","https://solicode-web-mobile.github.io/autoformations-web/git-github/resolution-conflits-historique/","Savoir résoudre des conflits de merge et consulter l’historique collaboratif.","1","DWB-T.3.3","2",""
"1","7.1.1-1","DWB-7.1.1-1","Déclarer des variables et types dynamiques","https://solicode-web-mobile.github.io/autoformations-web/bases-logique-php/variables-types-dynamiques/","","1","DWB-7.1.1","1",""
"2","7.1.1-2","DWB-7.1.1-2","Conditions if, else, switch","https://solicode-web-mobile.github.io/autoformations-web/bases-logique-php/conditions-if-else-switch/","","1","DWB-7.1.1","1",""
"3","7.1.1-3","DWB-7.1.1-3","Boucles for, while, foreach","https://solicode-web-mobile.github.io/autoformations-web/bases-logique-php/boucles-for-while-foreach/","","1","DWB-7.1.1","2",""
"4","7.1.2-4","DWB-7.1.2-4","Tableaux simples et associatifs","https://solicode-web-mobile.github.io/autoformations-web/bases-logique-php/tableaux-simples-associatifs/","","1","DWB-7.1.2","5",""
"5","7.1.2-5","DWB-7.1.2-5","Fonctions personnalisées et portée des variables","https://solicode-web-mobile.github.io/autoformations-web/bases-logique-php/fonctions-personnalisees-portee/","","1","DWB-7.1.2","2",""
"6","7.1.3-6","DWB-7.1.3-6","Fonctions de manipulation de chaînes","https://solicode-web-mobile.github.io/autoformations-web/bases-logique-php/fonctions-manipulation-chaines/","","1","DWB-7.1.3","1.5",""
"7","7.1.3-7","DWB-7.1.3-7","include, require, modularisation","https://solicode-web-mobile.github.io/autoformations-web/bases-logique-php/include-require-modularisation/","","1","DWB-7.1.3","2.5",""
